Date,Transaction_Type,Category,Amount_NGN,Description,Month,Week,Signed_Amount,Running_Balance_NGN,Cash_Alert
2024-01-18,Expense,Utilities,222503.19,Business expense paid,January,3,-222503.19,-415303.7599999999,DANGER
2024-01-18,Expense,Staff Salaries,242061.47,Business expense paid,January,3,-242061.47,-657365.2299999999,DANGER
2024-01-19,Income,Product Sales,393610.01,Customer payment received,January,3,393610.01,-263755.21999999986,DANGER
2024-01-19,Income,Product Sales,52764.75,Customer payment received,January,3,52764.75,-210990.46999999986,DANGER
2024-01-19,Expense,Logistics / Delivery,464656.15,Business expense paid,January,3,-464656.15,-675646.6199999999,DANGER
2024-01-20,Income,Loan Received,212886.33,Customer payment received,January,3,212886.33,-462760.2899999999,DANGER
2024-01-20,Expense,Supplier Payment,435032.19,Business expense paid,January,3,-435032.19,-897792.48,DANGER
2024-01-20,Expense,Supplier Payment,99025.82,Business expense paid,January,3,-99025.82,-996818.3,DANGER
2024-01-21,Expense,Supplier Payment,484980.5,Business expense paid,January,3,-484980.5,-1481798.8,DANGER
2024-01-21,Expense,Logistics / Delivery,111150.98,Business expense paid,January,3,-111150.98,-1592949.78,DANGER
2024-01-21,Income,Loan Received,149341.38,Customer payment received,January,3,149341.38,-1443608.4,DANGER
2024-01-21,Income,Loan Received,158362.15,Customer payment received,January,3,158362.15,-1285246.25,DANGER
2024-01-22,Income,Product Sales,171122.16,Customer payment received,January,4,171122.16,-1114124.09,DANGER
2024-01-22,Income,Bulk Order Payment,292879.92,Customer payment received,January,4,292879.92,-821244.1700000002,DANGER
2024-01-22,Income,Product Sales,55595.81,Customer payment received,January,4,55595.81,-765648.3600000001,DANGER
2024-01-22,Expense,Staff Salaries,52890.24,Business expense paid,January,4,-52890.24,-818538.6000000001,DANGER
2024-01-22,Expense,Logistics / Delivery,344102.03,Business expense paid,January,4,-344102.03,-1162640.6300000001,DANGER
2024-01-23,Income,Product Sales,290513.58,Customer payment received,January,4,290513.58,-872127.05,DANGER
2024-01-23,Income,Bulk Order Payment,83948.98,Customer payment received,January,4,83948.98,-788178.0700000001,DANGER
2024-01-23,Expense,Marketing,221227.96,Business expense paid,January,4,-221227.96,-1009406.03,DANGER
2024-01-24,Expense,Staff Salaries,239467.79,Business expense paid,January,4,-239467.79,-1248873.82,DANGER
2024-01-24,Expense,Utilities,342411.31,Business expense paid,January,4,-342411.31,-1591285.1300000001,DANGER
2024-01-24,Income,Advance Payment,121916.64,Customer payment received,January,4,121916.64,-1469368.4900000002,DANGER
2024-01-24,Income,Loan Received,137408.68,Customer payment received,January,4,137408.68,-1331959.8100000003,DANGER
2024-01-25,Income,Product Sales,236228.49,Customer payment received,January,4,236228.49,-1095731.3200000003,DANGER
2024-01-25,Expense,Utilities,500516.13,Business expense paid,January,4,-500516.13,-1596247.4500000002,DANGER
2024-01-26,Income,Product Sales,449966.72,Customer payment received,January,4,449966.72,-1146280.7300000002,DANGER
2024-01-26,Expense,Rent,355271.4,Business expense paid,January,4,-355271.4,-1501552.1300000004,DANGER
2024-01-26,Expense,Utilities,414591.47,Business expense paid,January,4,-414591.47,-1916143.6000000003,DANGER
2024-01-27,Expense,Staff Salaries,264498.56,Business expense paid,January,4,-264498.56,-2180642.16,DANGER
2024-01-27,Income,Product Sales,472733.99,Customer payment received,January,4,472733.99,-1707908.1700000002,DANGER
2024-01-27,Income,Advance Payment,330538.44,Customer payment received,January,4,330538.44,-1377369.7300000002,DANGER
2024-01-27,Income,Product Sales,449290.22,Customer payment received,January,4,449290.22,-928079.5100000002,DANGER
2024-01-27,Expense,Rent,677448.01,Business expense paid,January,4,-677448.01,-1605527.5200000003,DANGER
2024-01-28,Expense,Loan Repayment,115745.88,Business expense paid,January,4,-115745.88,-1721273.4000000004,DANGER
2024-01-28,Expense,Supplier Payment,818210.73,Business expense paid,January,4,-818210.73,-2539484.1300000004,DANGER
2024-01-28,Income,Bulk Order Payment,156790.32,Customer payment received,January,4,156790.32,-2382693.8100000005,DANGER
2024-01-28,Income,Bulk Order Payment,352925.48,Customer payment received,January,4,352925.48,-2029768.3300000005,DANGER
2024-01-28,Expense,Utilities,472673.43,Business expense paid,January,4,-472673.43,-2502441.7600000007,DANGER
2024-01-29,Expense,Loan Repayment,676423.5,Business expense paid,January,5,-676423.5,-3178865.2600000007,DANGER
2024-01-29,Income,Advance Payment,49839.04,Customer payment received,January,5,49839.04,-3129026.2200000007,DANGER
2024-01-29,Income,Advance Payment,377003.65,Customer payment received,January,5,377003.65,-2752022.5700000008,DANGER
2024-01-29,Expense,Staff Salaries,520623.53,Business expense paid,January,5,-520623.53,-3272646.1000000006,DANGER
2024-01-30,Expense,Rent,757090.1,Business expense paid,January,5,-757090.1,-4029736.2000000007,DANGER
2024-01-30,Income,Bulk Order Payment,455272.92,Customer payment received,January,5,455272.92,-3574463.2800000007,DANGER
2024-01-31,Expense,Loan Repayment,710020.43,Business expense paid,January,5,-710020.43,-4284483.710000001,DANGER
2024-01-31,Expense,Marketing,612230.47,Business expense paid,January,5,-612230.47,-4896714.180000001,DANGER
2024-01-31,Income,Advance Payment,87350.48,Customer payment received,January,5,87350.48,-4809363.7,DANGER
2024-01-31,Income,Product Sales,194093.18,Customer payment received,January,5,194093.18,-4615270.5200000005,DANGER
2024-01-31,Expense,Logistics / Delivery,217506.13,Business expense paid,January,5,-217506.13,-4832776.65,DANGER
2024-02-01,Income,Bulk Order Payment,612108.21,Customer payment received,February,5,612108.21,-4220668.44,DANGER
2024-02-01,Income,Bulk Order Payment,698454.27,Customer payment received,February,5,698454.27,-3522214.1700000004,DANGER
2024-02-01,Income,Product Sales,711062.15,Customer payment received,February,5,711062.15,-2811152.0200000005,DANGER
2024-02-01,Expense,Marketing,373550.95,Business expense paid,February,5,-373550.95,-3184702.9700000007,DANGER
2024-02-01,Expense,Loan Repayment,395545.52,Business expense paid,February,5,-395545.52,-3580248.4900000007,DANGER
2024-02-02,Expense,Utilities,211263.67,Business expense paid,February,5,-211263.67,-3791512.1600000006,DANGER
2024-02-02,Expense,Logistics / Delivery,127003.3,Business expense paid,February,5,-127003.3,-3918515.4600000004,DANGER
2024-02-02,Expense,Logistics / Delivery,187836.04,Business expense paid,February,5,-187836.04,-4106351.5000000005,DANGER
2024-02-02,Income,Product Sales,250104.28,Customer payment received,February,5,250104.28,-3856247.2200000007,DANGER
2024-02-02,Income,Product Sales,336906.29,Customer payment received,February,5,336906.29,-3519340.9300000006,DANGER
2024-02-02,Income,Bulk Order Payment,698048.02,Customer payment received,February,5,698048.02,-2821292.9100000006,DANGER
2024-02-02,Expense,Miscellaneous,126768.18,Business expense paid,February,5,-126768.18,-2948061.090000001,DANGER
2024-02-03,Expense,Marketing,346168.7,Business expense paid,February,5,-346168.7,-3294229.790000001,DANGER
2024-02-03,Income,Advance Payment,775166.83,Customer payment received,February,5,775166.83,-2519062.960000001,DANGER
2024-02-03,Expense,Loan Repayment,327911.23,Business expense paid,February,5,-327911.23,-2846974.190000001,DANGER
2024-02-03,Expense,Staff Salaries,470833.83,Business expense paid,February,5,-470833.83,-3317808.020000001,DANGER
2024-02-04,Expense,Logistics / Delivery,204893.81,Business expense paid,February,5,-204893.81,-3522701.830000001,DANGER
2024-02-04,Expense,Marketing,369701.63,Business expense paid,February,5,-369701.63,-3892403.460000001,DANGER
2024-02-04,Expense,Staff Salaries,229469.06,Business expense paid,February,5,-229469.06,-4121872.520000001,DANGER
2024-02-04,Income,Advance Payment,183925.86,Customer payment received,February,5,183925.86,-3937946.660000001,DANGER
2024-02-04,Income,Loan Received,78692.9,Customer payment received,February,5,78692.9,-3859253.760000001,DANGER
2024-02-05,Income,Loan Received,83289.9,Customer payment received,February,6,83289.9,-3775963.8600000013,DANGER
2024-02-05,Income,Bulk Order Payment,51268.46,Customer payment received,February,6,51268.46,-3724695.4000000013,DANGER
2024-02-05,Expense,Marketing,227022.75,Business expense paid,February,6,-227022.75,-3951718.1500000013,DANGER
2024-02-05,Expense,Staff Salaries,319114.6,Business expense paid,February,6,-319114.6,-4270832.750000001,DANGER
2024-02-05,Expense,Utilities,365482.05,Business expense paid,February,6,-365482.05,-4636314.800000001,DANGER
2024-02-06,Expense,Loan Repayment,339166.13,Business expense paid,February,6,-339166.13,-4975480.930000001,DANGER
2024-02-06,Expense,Supplier Payment,214916.08,Business expense paid,February,6,-214916.08,-5190397.010000001,DANGER
2024-02-06,Expense,Utilities,315447.16,Business expense paid,February,6,-315447.16,-5505844.170000001,DANGER
2024-02-06,Expense,Rent,345112.61,Business expense paid,February,6,-345112.61,-5850956.780000001,DANGER
2024-02-06,Income,Bulk Order Payment,465809.36,Customer payment received,February,6,465809.36,-5385147.420000001,DANGER
2024-02-06,Income,Advance Payment,294637.18,Customer payment received,February,6,294637.18,-5090510.240000001,DANGER
2024-02-06,Income,Loan Received,281963.5,Customer payment received,February,6,281963.5,-4808546.740000001,DANGER
2024-02-07,Income,Loan Received,265185.29,Customer payment received,February,6,265185.29,-4543361.450000001,DANGER
2024-02-07,Income,Advance Payment,639319.12,Customer payment received,February,6,639319.12,-3904042.330000001,DANGER
2024-02-07,Expense,Logistics / Delivery,232057.29,Business expense paid,February,6,-232057.29,-4136099.620000001,DANGER
2024-02-07,Expense,Rent,265363.52,Business expense paid,February,6,-265363.52,-4401463.140000001,DANGER
2024-02-07,Expense,Utilities,336248.36,Business expense paid,February,6,-336248.36,-4737711.500000001,DANGER
2024-02-07,Expense,Marketing,267416.96,Business expense paid,February,6,-267416.96,-5005128.460000001,DANGER
2024-02-08,Expense,Miscellaneous,137524.42,Business expense paid,February,6,-137524.42,-5142652.880000001,DANGER
2024-02-08,Expense,Supplier Payment,90729.9,Business expense paid,February,6,-90729.9,-5233382.780000001,DANGER
2024-02-08,Expense,Logistics / Delivery,127827.52,Business expense paid,February,6,-127827.52,-5361210.300000001,DANGER
2024-02-08,Income,Bulk Order Payment,663817.6,Customer payment received,February,6,663817.6,-4697392.700000001,DANGER
2024-02-09,Income,Product Sales,687303.27,Customer payment received,February,6,687303.27,-4010089.430000001,DANGER
2024-02-09,Income,Bulk Order Payment,391562.13,Customer payment received,February,6,391562.13,-3618527.300000001,DANGER
2024-02-09,Income,Loan Received,588759.44,Customer payment received,February,6,588759.44,-3029767.8600000013,DANGER
2024-02-09,Expense,Rent,211833.37,Business expense paid,February,6,-211833.37,-3241601.2300000014,DANGER
2024-02-09,Expense,Supplier Payment,334907.85,Business expense paid,February,6,-334907.85,-3576509.0800000015,DANGER
2024-02-09,Expense,Staff Salaries,448476.72,Business expense paid,February,6,-448476.72,-4024985.8000000017,DANGER
2024-02-09,Expense,Logistics / Delivery,393641.8,Business expense paid,February,6,-393641.8,-4418627.6000000015,DANGER
2024-02-10,Income,Loan Received,653082.39,Customer payment received,February,6,653082.39,-3765545.2100000014,DANGER
2024-02-10,Expense,Staff Salaries,287554.78,Business expense paid,February,6,-287554.78,-4053099.990000001,DANGER
2024-02-11,Expense,Logistics / Delivery,236033.48,Business expense paid,February,6,-236033.48,-4289133.470000002,DANGER
2024-02-11,Expense,Miscellaneous,450659.89,Business expense paid,February,6,-450659.89,-4739793.360000001,DANGER
2024-02-11,Expense,Miscellaneous,418673.2,Business expense paid,February,6,-418673.2,-5158466.560000001,DANGER
2024-02-11,Income,Loan Received,150004.33,Customer payment received,February,6,150004.33,-5008462.230000001,DANGER
2024-02-11,Income,Advance Payment,550683.3,Customer payment received,February,6,550683.3,-4457778.930000002,DANGER
2024-02-11,Expense,Loan Repayment,314073.11,Business expense paid,February,6,-314073.11,-4771852.040000002,DANGER
2024-02-12,Expense,Marketing,150423.25,Business expense paid,February,7,-150423.25,-4922275.290000002,DANGER
2024-02-12,Income,Loan Received,257983.51,Customer payment received,February,7,257983.51,-4664291.780000002,DANGER
2024-02-12,Income,Advance Payment,520061.33,Customer payment received,February,7,520061.33,-4144230.450000002,DANGER
2024-02-12,Income,Advance Payment,379904.44,Customer payment received,February,7,379904.44,-3764326.010000002,DANGER
2024-02-12,Expense,Staff Salaries,448652.88,Business expense paid,February,7,-448652.88,-4212978.890000002,DANGER
2024-02-13,Expense,Staff Salaries,359081.19,Business expense paid,February,7,-359081.19,-4572060.080000003,DANGER
2024-02-13,Income,Loan Received,163122.99,Customer payment received,February,7,163122.99,-4408937.090000003,DANGER
2024-02-13,Expense,Marketing,219136.59,Business expense paid,February,7,-219136.59,-4628073.6800000025,DANGER
2024-02-14,Expense,Loan Repayment,163334.07,Business expense paid,February,7,-163334.07,-4791407.750000003,DANGER
2024-02-14,Expense,Logistics / Delivery,278345.87,Business expense paid,February,7,-278345.87,-5069753.620000003,DANGER
2024-02-14,Expense,Marketing,248950.27,Business expense paid,February,7,-248950.27,-5318703.890000002,DANGER
2024-02-14,Expense,Loan Repayment,429655.02,Business expense paid,February,7,-429655.02,-5748358.910000002,DANGER
2024-02-14,Income,Loan Received,205125.79,Customer payment received,February,7,205125.79,-5543233.120000002,DANGER
2024-02-14,Income,Product Sales,399443.23,Customer payment received,February,7,399443.23,-5143789.890000002,DANGER
2024-02-14,Income,Product Sales,342107.61,Customer payment received,February,7,342107.61,-4801682.280000002,DANGER
2024-02-15,Income,Loan Received,214566.23,Customer payment received,February,7,214566.23,-4587116.050000002,DANGER
2024-02-15,Income,Loan Received,414231.5,Customer payment received,February,7,414231.5,-4172884.5500000017,DANGER
2024-02-15,Expense,Loan Repayment,341059.34,Business expense paid,February,7,-341059.34,-4513943.8900000015,DANGER
2024-02-15,Expense,Miscellaneous,367607.06,Business expense paid,February,7,-367607.06,-4881550.950000001,DANGER
2024-02-15,Expense,Supplier Payment,461379.98,Business expense paid,February,7,-461379.98,-5342930.930000002,DANGER
2024-02-16,Income,Product Sales,493919.58,Customer payment received,February,7,493919.58,-4849011.3500000015,DANGER
2024-02-16,Income,Loan Received,112960.6,Customer payment received,February,7,112960.6,-4736050.750000002,DANGER
2024-02-16,Expense,Rent,436088.65,Business expense paid,February,7,-436088.65,-5172139.400000002,DANGER
2024-02-16,Expense,Loan Repayment,44136.62,Business expense paid,February,7,-44136.62,-5216276.020000002,DANGER
2024-02-17,Expense,Supplier Payment,245747.28,Business expense paid,February,7,-245747.28,-5462023.300000003,DANGER
2024-02-17,Expense,Staff Salaries,141090.34,Business expense paid,February,7,-141090.34,-5603113.640000002,DANGER
2024-02-17,Income,Loan Received,303125.41,Customer payment received,February,7,303125.41,-5299988.230000002,DANGER
2024-02-17,Income,Advance Payment,208745.21,Customer payment received,February,7,208745.21,-5091243.020000002,DANGER
2024-02-17,Expense,Loan Repayment,380964.72,Business expense paid,February,7,-380964.72,-5472207.740000002,DANGER
2024-02-18,Income,Product Sales,218166.62,Customer payment received,February,7,218166.62,-5254041.120000002,DANGER
2024-02-18,Income,Product Sales,635924.79,Customer payment received,February,7,635924.79,-4618116.330000002,DANGER
2024-02-18,Expense,Logistics / Delivery,475813.63,Business expense paid,February,7,-475813.63,-5093929.960000002,DANGER
2024-02-19,Expense,Logistics / Delivery,290705.4,Business expense paid,February,8,-290705.4,-5384635.360000002,DANGER
2024-02-19,Income,Bulk Order Payment,516001.74,Customer payment received,February,8,516001.74,-4868633.620000002,DANGER
2024-02-19,Expense,Staff Salaries,247309.31,Business expense paid,February,8,-247309.31,-5115942.930000002,DANGER
2024-02-20,Expense,Utilities,297768.67,Business expense paid,February,8,-297768.67,-5413711.6000000015,DANGER
2024-02-20,Expense,Staff Salaries,483065.97,Business expense paid,February,8,-483065.97,-5896777.570000001,DANGER
2024-02-20,Income,Advance Payment,574598.73,Customer payment received,February,8,574598.73,-5322178.840000002,DANGER
2024-02-20,Income,Product Sales,175841.86,Customer payment received,February,8,175841.86,-5146336.980000001,DANGER
2024-02-21,Income,Loan Received,558010.47,Customer payment received,February,8,558010.47,-4588326.510000002,DANGER
2024-02-21,Income,Bulk Order Payment,347490.83,Customer payment received,February,8,347490.83,-4240835.680000002,DANGER
2024-02-21,Income,Bulk Order Payment,106997.36,Customer payment received,February,8,106997.36,-4133838.3200000017,DANGER
2024-02-21,Expense,Utilities,354652.64,Business expense paid,February,8,-354652.64,-4488490.960000002,DANGER
2024-02-22,Expense,Staff Salaries,414718.84,Business expense paid,February,8,-414718.84,-4903209.800000002,DANGER
2024-02-22,Expense,Loan Repayment,26073.03,Business expense paid,February,8,-26073.03,-4929282.830000002,DANGER
2024-02-22,Expense,Marketing,53099.23,Business expense paid,February,8,-53099.23,-4982382.060000002,DANGER
2024-02-22,Income,Product Sales,647170.41,Customer payment received,February,8,647170.41,-4335211.650000002,DANGER
2024-02-22,Income,Product Sales,500308.71,Customer payment received,February,8,500308.71,-3834902.9400000023,DANGER
2024-02-22,Income,Loan Received,310402.82,Customer payment received,February,8,310402.82,-3524500.1200000024,DANGER
2024-02-23,Income,Loan Received,770590.68,Customer payment received,February,8,770590.68,-2753909.4400000023,DANGER
2024-02-23,Income,Loan Received,580481.48,Customer payment received,February,8,580481.48,-2173427.9600000023,DANGER
2024-02-23,Expense,Utilities,372221.75,Business expense paid,February,8,-372221.75,-2545649.7100000023,DANGER
2024-02-23,Expense,Miscellaneous,315637.93,Business expense paid,February,8,-315637.93,-2861287.6400000025,DANGER
2024-02-24,Expense,Miscellaneous,153885.56,Business expense paid,February,8,-153885.56,-3015173.2000000025,DANGER
2024-02-24,Income,Advance Payment,376680.87,Customer payment received,February,8,376680.87,-2638492.3300000024,DANGER
2024-02-24,Income,Bulk Order Payment,291728.44,Customer payment received,February,8,291728.44,-2346763.8900000025,DANGER
2024-02-25,Expense,Marketing,60796.8,Business expense paid,February,8,-60796.8,-2407560.6900000023,DANGER
2024-02-25,Expense,Logistics / Delivery,193109.64,Business expense paid,February,8,-193109.64,-2600670.3300000024,DANGER
2024-02-25,Income,Loan Received,612857.21,Customer payment received,February,8,612857.21,-1987813.1200000024,DANGER
2024-02-25,Expense,Utilities,342568.77,Business expense paid,February,8,-342568.77,-2330381.8900000025,DANGER
2024-02-26,Expense,Loan Repayment,244531.63,Business expense paid,February,9,-244531.63,-2574913.5200000023,DANGER
2024-02-26,Income,Bulk Order Payment,466843.27,Customer payment received,February,9,466843.27,-2108070.2500000023,DANGER
2024-02-26,Income,Advance Payment,259743.87,Customer payment received,February,9,259743.87,-1848326.3800000022,DANGER
2024-02-27,Income,Bulk Order Payment,466382.16,Customer payment received,February,9,466382.16,-1381944.2200000023,DANGER
2024-02-27,Income,Loan Received,567957.0,Customer payment received,February,9,567957.0,-813987.2200000023,DANGER
2024-02-27,Expense,Staff Salaries,721094.0,Business expense paid,February,9,-721094.0,-1535081.2200000023,DANGER
2024-02-27,Expense,Loan Repayment,290219.54,Business expense paid,February,9,-290219.54,-1825300.7600000023,DANGER
2024-02-27,Expense,Utilities,633704.1,Business expense paid,February,9,-633704.1,-2459004.860000002,DANGER
2024-02-27,Expense,Marketing,609661.46,Business expense paid,February,9,-609661.46,-3068666.320000002,DANGER
2024-02-28,Expense,Utilities,643266.67,Business expense paid,February,9,-643266.67,-3711932.990000002,DANGER
2024-02-28,Expense,Logistics / Delivery,140246.68,Business expense paid,February,9,-140246.68,-3852179.6700000023,DANGER
2024-02-28,Income,Advance Payment,465104.72,Customer payment received,February,9,465104.72,-3387074.950000002,DANGER
2024-02-28,Income,Advance Payment,369127.86,Customer payment received,February,9,369127.86,-3017947.090000002,DANGER
2024-02-28,Expense,Logistics / Delivery,300922.26,Business expense paid,February,9,-300922.26,-3318869.3500000024,DANGER
2024-02-29,Income,Bulk Order Payment,139666.06,Customer payment received,February,9,139666.06,-3179203.2900000024,DANGER
2024-02-29,Income,Loan Received,193655.73,Customer payment received,February,9,193655.73,-2985547.5600000024,DANGER
